,Territorio,ETA1,Value
0,Piemonte,Y0,27785
1,Valle d'Aosta / Vallée d'Aoste,Y0,835
2,Liguria,Y0,8632
3,Lombardia,Y0,72560
4,Trentino Alto Adige / Südtirol,Y0,9468
5,Provincia Autonoma Bolzano / Bozen,Y0,5225
6,Provincia Autonoma Trento,Y0,4243
7,Veneto,Y0,33275
8,Friuli-Venezia Giulia,Y0,7450
9,Emilia-Romagna,Y0,30914
10,Toscana,Y0,23220
11,Umbria,Y0,5488
12,Marche,Y0,9582
13,Lazio,Y0,38162
14,Abruzzo,Y0,8372
15,Molise,Y0,1888
16,Campania,Y0,46010
17,Puglia,Y0,27126
18,Basilicata,Y0,3630
19,Calabria,Y0,14177
20,Sicilia,Y0,37683
21,Sardegna,Y0,8717
22,Provincia Autonoma Trento,Y1,4427
23,Valle d'Aosta / Vallée d'Aoste,Y1,893
24,Emilia-Romagna,Y1,32779
25,Basilicata,Y1,3639
26,Lombardia,Y1,76022
27,Provincia Autonoma Bolzano / Bozen,Y1,5309
28,Liguria,Y1,8971
29,Marche,Y1,10140
30,Sicilia,Y1,39459
31,Sardegna,Y1,9211
32,Calabria,Y1,14777
33,Abruzzo,Y1,8810
34,Lazio,Y1,42329
35,Piemonte,Y1,28996
36,Veneto,Y1,35392
37,Trentino Alto Adige / Südtirol,Y1,9736
38,Puglia,Y1,28416
39,Friuli-Venezia Giulia,Y1,7802
40,Toscana,Y1,24713
41,Molise,Y1,1863
42,Campania,Y1,47138
43,Umbria,Y1,5699
44,Valle d'Aosta / Vallée d'Aoste,Y2,888
45,Emilia-Romagna,Y2,33739
46,Sardegna,Y2,10006
47,Basilicata,Y2,3898
48,Trentino Alto Adige / Südtirol,Y2,10024
49,Campania,Y2,49346
50,Toscana,Y2,26112
51,Marche,Y2,10706
52,Umbria,Y2,5992
53,Puglia,Y2,29647
54,Molise,Y2,2079
55,Sicilia,Y2,40502
56,Abruzzo,Y2,9436
57,Calabria,Y2,15345
58,Friuli-Venezia Giulia,Y2,8229
59,Veneto,Y2,36931
60,Lazio,Y2,44307
61,Provincia Autonoma Trento,Y2,4584
62,Piemonte,Y2,30833
63,Lombardia,Y2,79620
64,Liguria,Y2,9674
65,Provincia Autonoma Bolzano / Bozen,Y2,5440
66,Umbria,Y3,6381
67,Lazio,Y3,46590
68,Abruzzo,Y3,9971
69,Campania,Y3,49478
70,Emilia-Romagna,Y3,35347
71,Friuli-Venezia Giulia,Y3,8615
72,Provincia Autonoma Trento,Y3,4737
73,Veneto,Y3,38142
74,Molise,Y3,2026
75,Basilicata,Y3,3968
76,Valle d'Aosta / Vallée d'Aoste,Y3,951
77,Liguria,Y3,9926
78,Trentino Alto Adige / Südtirol,Y3,10278
79,Provincia Autonoma Bolzano / Bozen,Y3,5541
80,Piemonte,Y3,32053
81,Marche,Y3,11402
82,Sardegna,Y3,10423
83,Lombardia,Y3,82300
84,Toscana,Y3,27031
85,Calabria,Y3,15628
86,Sicilia,Y3,40589
87,Puglia,Y3,30597
88,Valle d'Aosta / Vallée d'Aoste,Y4,961
89,Veneto,Y4,39268
90,Lombardia,Y4,85067
91,Piemonte,Y4,32833
92,Liguria,Y4,10202
93,Trentino Alto Adige / Südtirol,Y4,10396
94,Lazio,Y4,47781
95,Umbria,Y4,6428
96,Abruzzo,Y4,10085
97,Molise,Y4,2115
98,Campania,Y4,50210
99,Friuli-Venezia Giulia,Y4,8715
100,Provincia Autonoma Trento,Y4,4878
101,Emilia-Romagna,Y4,36507
102,Puglia,Y4,30971
103,Calabria,Y4,15901
104,Provincia Autonoma Bolzano / Bozen,Y4,5518
105,Toscana,Y4,27602
106,Sardegna,Y4,10967
107,Marche,Y4,11861
108,Basilicata,Y4,3996
109,Sicilia,Y4,41903
110,Piemonte,Y5,34181
111,Valle d'Aosta / Vallée d'Aoste,Y5,1050
112,Trentino Alto Adige / Südtirol,Y5,10636
113,Provincia Autonoma Trento,Y5,4944
114,Toscana,Y5,29161
115,Lombardia,Y5,87242
116,Veneto,Y5,40633
117,Liguria,Y5,10858
118,Emilia-Romagna,Y5,37450
119,Friuli-Venezia Giulia,Y5,9243
120,Provincia Autonoma Bolzano / Bozen,Y5,5692
121,Umbria,Y5,6845
122,Marche,Y5,12179
123,Lazio,Y5,49513
124,Abruzzo,Y5,10300
125,Molise,Y5,2153
126,Campania,Y5,50945
127,Puglia,Y5,32418
128,Basilicata,Y5,4045
129,Calabria,Y5,16068
130,Sicilia,Y5,42972
131,Sardegna,Y5,11252
132,Emilia-Romagna,Y6,38385
133,Provincia Autonoma Trento,Y6,5211
134,Molise,Y6,2192
135,Piemonte,Y6,35065
136,Trentino Alto Adige / Südtirol,Y6,10623
137,Lombardia,Y6,88821
138,Valle d'Aosta / Vallée d'Aoste,Y6,1033
139,Veneto,Y6,41614
140,Basilicata,Y6,4026
141,Sicilia,Y6,42416
142,Calabria,Y6,16075
143,Abruzzo,Y6,10453
144,Lazio,Y6,50450
145,Friuli-Venezia Giulia,Y6,9426
146,Provincia Autonoma Bolzano / Bozen,Y6,5412
147,Sardegna,Y6,11614
148,Toscana,Y6,29467
149,Puglia,Y6,33061
150,Campania,Y6,52006
151,Liguria,Y6,10956
152,Marche,Y6,12490
153,Umbria,Y6,7118
154,Basilicata,Y7,4406
155,Sardegna,Y7,12206
156,Lazio,Y7,53333
157,Sicilia,Y7,44542
158,Umbria,Y7,7461
159,Abruzzo,Y7,10966
160,Molise,Y7,2245
161,Marche,Y7,12818
162,Calabria,Y7,16483
163,Toscana,Y7,31289
164,Puglia,Y7,34277
165,Campania,Y7,54373
166,Provincia Autonoma Bolzano / Bozen,Y7,5625
167,Lombardia,Y7,92013
168,Piemonte,Y7,36414
169,Trentino Alto Adige / Südtirol,Y7,10859
170,Provincia Autonoma Trento,Y7,5234
171,Emilia-Romagna,Y7,39593
172,Valle d'Aosta / Vallée d'Aoste,Y7,1124
173,Veneto,Y7,43637
174,Friuli-Venezia Giulia,Y7,9844
175,Liguria,Y7,11590
176,Trentino Alto Adige / Südtirol,Y8,10901
177,Basilicata,Y8,4374
178,Sardegna,Y8,12843
179,Piemonte,Y8,36698
180,Provincia Autonoma Trento,Y8,5377
181,Lombardia,Y8,93991
182,Emilia-Romagna,Y8,40376
183,Provincia Autonoma Bolzano / Bozen,Y8,5524
184,Friuli-Venezia Giulia,Y8,10021
185,Valle d'Aosta / Vallée d'Aoste,Y8,1182
186,Lazio,Y8,53295
187,Calabria,Y8,16714
188,Umbria,Y8,7552
189,Abruzzo,Y8,11115
190,Molise,Y8,2316
191,Liguria,Y8,11409
192,Veneto,Y8,44439
193,Puglia,Y8,35383
194,Sicilia,Y8,44642
195,Marche,Y8,13452
196,Toscana,Y8,31668
197,Campania,Y8,55531
198,Puglia,Y9,36556
199,Calabria,Y9,17254
200,Toscana,Y9,32704
201,Campania,Y9,57239
202,Marche,Y9,13632
203,Lazio,Y9,54609
204,Friuli-Venezia Giulia,Y9,10410
205,Sardegna,Y9,13244
206,Piemonte,Y9,37577
207,Umbria,Y9,7742
208,Valle d'Aosta / Vallée d'Aoste,Y9,1155
209,Lombardia,Y9,96782
210,Basilicata,Y9,4527
211,Provincia Autonoma Bolzano / Bozen,Y9,5533
212,Sicilia,Y9,46202
