nome_area,Data,area,Vaccinazioni,sesso_maschile,sesso_femminile,categoria_operatori_sanitari_sociosanitari,categoria_personale_non_sanitario,categoria_altro,categoria_ospiti_rsa,categoria_over80,categoria_forze_armate,categoria_personale_scolastico,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT
Abruzzo,2021-04-07,ABR,2043,977,1066,32,4,1184,6,807,8,2,1414,629,ITF,ITF1,13
Abruzzo,2021-04-06,ABR,7683,3578,4105,433,7,4771,44,2340,34,54,5363,2320,ITF,ITF1,13
Abruzzo,2021-04-05,ABR,2696,1150,1546,136,1,1167,3,1368,5,16,1816,880,ITF,ITF1,13
Abruzzo,2021-04-04,ABR,1625,766,859,94,7,1071,2,446,1,4,1496,129,ITF,ITF1,13
Abruzzo,2021-04-03,ABR,5072,2212,2860,174,1,2377,27,2401,8,84,3478,1594,ITF,ITF1,13
Abruzzo,2021-04-02,ABR,6683,3093,3590,184,2,3074,2,3305,22,94,5197,1486,ITF,ITF1,13
Abruzzo,2021-04-01,ABR,5530,2450,3080,274,8,2095,57,2908,35,153,3441,2089,ITF,ITF1,13
Abruzzo,2021-03-31,ABR,6655,2882,3773,446,5,2615,77,3255,12,245,4587,2068,ITF,ITF1,13
Abruzzo,2021-03-30,ABR,5059,2199,2860,211,2,1749,31,2741,39,286,3234,1825,ITF,ITF1,13
Abruzzo,2021-03-29,ABR,5625,2524,3101,463,1,1296,42,3593,35,195,2985,2640,ITF,ITF1,13
Abruzzo,2021-03-28,ABR,2417,1018,1399,247,0,883,1,877,234,175,2045,372,ITF,ITF1,13
Abruzzo,2021-03-27,ABR,6119,2619,3500,189,11,1386,42,4235,40,216,3640,2479,ITF,ITF1,13
Abruzzo,2021-03-26,ABR,5303,2269,3034,264,1,1061,37,3327,164,449,3242,2061,ITF,ITF1,13
Abruzzo,2021-03-25,ABR,5685,2560,3125,249,10,945,39,3781,213,448,3069,2616,ITF,ITF1,13
